grade,lesson_term,subject,unit_order,unit_name,lesson_order,lesson_name
g8,t1,s7,u3,,l1,"1-	Collecting and organizing data"
g8,t1,s7,u2,,l2,"2-	The slope of a line and real-life applications"
g8,t1,s7,u2,,l1,"1-	Linear relation of two variables"
g8,t1,s7,u1,,l9,"9-	Operations on the cube roots"
g8,t1,s7,u1,,l8,"8-	Operations on the square roots"
g8,t1,s7,u1,,l7,"7-	Operations on the real numbers"
g8,t1,s7,u1,,l6,"6-	Intervals"
g8,t1,s7,u1,,l5,"5-	Ordering numbers at R"
g8,t1,s7,u1,,l4,"4-	The set of real numbers R"
g8,t1,s7,u1,,l3,"3-	Finding the approximate value of an irrational number"
g8,t1,s7,u1,,l2,"2-	The set of irrational number Q'"
g8,t1,s7,u1,,l11,"11-	Solving equations and inequalities of first degree in one variable in R"
g8,t1,s7,u1,,l10,"10-	Applications on the real numbers"
g8,t1,s7,u1,,l1,"1-	The cube root of a rational number"
g8,t1,s6,u8,,l2,"Lesson 2"
g8,t1,s6,u8,,l1,"Lesson 1"
g8,t1,s6,u7,,l7,"Lesson 7"
g8,t1,s6,u7,,l6,"Lesson 6"
g8,t1,s6,u7,,l5,"Lesson 5"
g8,t1,s6,u7,,l4,"Lesson 4"
g8,t1,s6,u7,,l3,"Lesson 3"
g8,t1,s6,u7,,l2,"Lesson 2"
g8,t1,s6,u7,,l1,"Lesson 1"
g8,t1,s6,u6,,l7,"Lesson 7"
g8,t1,s6,u6,,l6,"Lesson 6"
g8,t1,s6,u6,,l5,"Lesson 5"
g8,t1,s6,u6,,l4,"Lesson 4"
g8,t1,s6,u6,,l3,"Lesson 3"
g8,t1,s6,u6,,l2,"Lesson 2"
g8,t1,s6,u6,,l1,"Lesson 1"
g8,t1,s6,u5,,l7,"Lesson 7"
g8,t1,s6,u5,,l6,"Lesson 6"
g8,t1,s6,u5,,l5,"Lesson 5"
g8,t1,s6,u5,,l4,"Lesson 4"
g8,t1,s6,u5,,l3,"Lesson 3"
g8,t1,s6,u5,,l2,"Lesson 2"
g8,t1,s6,u5,,l1,"Lesson 1"
g8,t1,s6,u4,,l2,"Lesson 2"
g8,t1,s6,u4,,l1,"Lesson 1"
g8,t1,s6,u3,,l7,"Lesson 7"
g8,t1,s6,u3,,l6,"Lesson 6"
g8,t1,s6,u3,,l5,"Lesson 5"
g8,t1,s6,u3,,l4,"Lesson 4"
